row,base,ai,sim,error
0,Question_1,no,no,
0,Question_1.1,no,no,
0,Question_1.1_2,no,no,
0,Question_1.1_3,no,no,
0,Question_1.1_4,no,no,
0,Question_1.1_5,no,no,
0,Question_10,no,no,
0,Question_2,no,no,
0,Question_2.1,no,no,
0,Question_2.1_2,no,no,
0,Question_2.1_3,no,no,
0,Question_2.2,no,no,
0,Question_2.2_2,no,no,
0,Question_2_2,no,no,
0,Question_3.1,no,no,
0,Question_3.1_2,no,no,
0,Question_4,no,no,
0,Question_4.1,no,no,
0,Question_4_2,no,no,
0,Question_5,no,no,
0,Question_5.1,no,no,
0,Question_5.1_2,no,no,
0,Question_5.1_3,no,no,
0,Question_5.1_4,no,no,
0,Question_7,no,no,
0,Question_7.1,no,no,
0,Question_7_2,no,no,
0,Question_8,no,no,
0,Question_8_2,no,no,
0,Question_9.1,no,no,
1,Question_1,no,no,
1,Question_1.1,no,no,
1,Question_1.1_2,no,no,
1,Question_1.1_3,no,no,
1,Question_1.1_4,no,no,
1,Question_1.1_5,no,no,
1,Question_10,no,no,
1,Question_2,no,no,
1,Question_2.1,no,no,
1,Question_2.1_2,no,no,
1,Question_2.1_3,no,no,
1,Question_2.2,no,no,
1,Question_2.2_2,no,no,
1,Question_2_2,no,no,
1,Question_3.1,no,no,
1,Question_3.1_2,no,no,
1,Question_4,no,no,
1,Question_4.1,no,no,
1,Question_4_2,no,no,
1,Question_5,no,no,
1,Question_5.1,no,no,
1,Question_5.1_2,no,no,
1,Question_5.1_3,no,no,
1,Question_5.1_4,no,no,
1,Question_7,no,no,
1,Question_7.1,no,no,
1,Question_7_2,no,no,
1,Question_8,no,no,
1,Question_8_2,no,no,
1,Question_9.1,no,no,
2,Question_1,yes,yes,
2,Question_1.1,yes,yes,
2,Question_1.1_2,no,no,
2,Question_1.1_3,no,no,
2,Question_1.1_4,no,no,
2,Question_1.1_5,no,no,
2,Question_10,yes,yes,
2,Question_2,yes,yes,
2,Question_2.1,yes,yes,
2,Question_2.1_2,no,no,
2,Question_2.1_3,no,no,
2,Question_2.2,yes,yes,
2,Question_2.2_2,no,no,
2,Question_2_2,no,no,
2,Question_3.1,no,no,
2,Question_3.1_2,no,no,
2,Question_4,yes,yes,
2,Question_4.1,yes,yes,
2,Question_4_2,no,no,
2,Question_5,yes,yes,
2,Question_5.1,yes,yes,
2,Question_5.1_2,no,no,
2,Question_5.1_3,no,no,
2,Question_5.1_4,no,no,
2,Question_7,yes,yes,
2,Question_7.1,yes,yes,
2,Question_7_2,no,no,
2,Question_8,yes,yes,
2,Question_8_2,no,no,
2,Question_9.1,no,no,
3,Question_1,no,no,
3,Question_1.1,no,no,
3,Question_1.1_2,no,no,
3,Question_1.1_3,no,no,
3,Question_1.1_4,no,no,
3,Question_1.1_5,no,no,
3,Question_10,no,no,
3,Question_2,no,no,
3,Question_2.1,no,no,
3,Question_2.1_2,no,no,
3,Question_2.1_3,no,no,
3,Question_2.2,no,no,
3,Question_2.2_2,no,no,
3,Question_2_2,no,no,
3,Question_3.1,no,no,
3,Question_3.1_2,no,no,
3,Question_4,no,no,
3,Question_4.1,no,no,
3,Question_4_2,no,no,
3,Question_5,no,no,
3,Question_5.1,no,no,
3,Question_5.1_2,no,no,
3,Question_5.1_3,no,no,
3,Question_5.1_4,no,no,
3,Question_7,no,no,
3,Question_7.1,no,no,
3,Question_7_2,no,no,
3,Question_8,no,no,
3,Question_8_2,no,no,
3,Question_9.1,no,no,
4,Question_1,yes,yes,
4,Question_1.1,yes,yes,
4,Question_1.1_2,no,no,
4,Question_1.1_3,no,no,
4,Question_1.1_4,no,no,
4,Question_1.1_5,no,no,
4,Question_10,yes,yes,
4,Question_2,yes,yes,
4,Question_2.1,no,no,
4,Question_2.1_2,no,no,
4,Question_2.1_3,no,no,
4,Question_2.2,yes,yes,
4,Question_2.2_2,no,no,
4,Question_2_2,no,no,
4,Question_3.1,no,no,
4,Question_3.1_2,no,no,
4,Question_4,yes,yes,
4,Question_4.1,yes,yes,
4,Question_4_2,no,no,
4,Question_5,yes,yes,
4,Question_5.1,no,no,
4,Question_5.1_2,no,no,
4,Question_5.1_3,no,no,
4,Question_5.1_4,no,no,
4,Question_7,yes,yes,
4,Question_7.1,no,no,
4,Question_7_2,no,no,
4,Question_8,yes,yes,
4,Question_8_2,no,no,
4,Question_9.1,yes,yes,
5,Question_1,no,no,
5,Question_1.1,no,no,
5,Question_1.1_2,no,no,
5,Question_1.1_3,no,no,
5,Question_1.1_4,no,no,
5,Question_1.1_5,no,no,
5,Question_10,no,no,
5,Question_2,no,no,
5,Question_2.1,no,no,
5,Question_2.1_2,no,no,
5,Question_2.1_3,no,no,
5,Question_2.2,no,no,
5,Question_2.2_2,no,no,
5,Question_2_2,no,no,
5,Question_3.1,no,no,
5,Question_3.1_2,no,no,
5,Question_4,no,no,
5,Question_4.1,no,no,
5,Question_4_2,no,no,
5,Question_5,no,no,
5,Question_5.1,no,no,
5,Question_5.1_2,no,no,
5,Question_5.1_3,no,no,
5,Question_5.1_4,no,no,
5,Question_7,no,no,
5,Question_7.1,no,no,
5,Question_7_2,no,no,
5,Question_8,no,no,
5,Question_8_2,no,no,
5,Question_9.1,no,no,
6,Question_1,yes,yes,
6,Question_1.1,yes,yes,
6,Question_1.1_2,no,no,
6,Question_1.1_3,no,no,
6,Question_1.1_4,no,no,
6,Question_1.1_5,no,no,
6,Question_10,yes,yes,
6,Question_2,yes,yes,
6,Question_2.1,no,no,
6,Question_2.1_2,no,no,
6,Question_2.1_3,no,no,
6,Question_2.2,yes,yes,
6,Question_2.2_2,no,no,
6,Question_2_2,no,no,
6,Question_3.1,no,no,
6,Question_3.1_2,no,no,
6,Question_4,yes,yes,
6,Question_4.1,no,no,
6,Question_4_2,no,no,
6,Question_5,yes,yes,
6,Question_5.1,yes,yes,
6,Question_5.1_2,no,no,
6,Question_5.1_3,no,no,
6,Question_5.1_4,no,no,
6,Question_7,yes,yes,
6,Question_7.1,no,no,
6,Question_7_2,no,no,
6,Question_8,yes,yes,
6,Question_8_2,no,no,
6,Question_9.1,yes,yes,
7,Question_1,no,no,
7,Question_1.1,no,no,
7,Question_1.1_2,no,no,
7,Question_1.1_3,no,no,
7,Question_1.1_4,no,no,
7,Question_1.1_5,no,no,
7,Question_10,no,no,
7,Question_2,no,no,
7,Question_2.1,no,no,
7,Question_2.1_2,no,no,
7,Question_2.1_3,no,no,
7,Question_2.2,no,no,
7,Question_2.2_2,no,no,
7,Question_2_2,no,no,
7,Question_3.1,no,no,
7,Question_3.1_2,no,no,
7,Question_4,no,no,
7,Question_4.1,no,no,
7,Question_4_2,no,no,
7,Question_5,no,no,
7,Question_5.1,no,no,
7,Question_5.1_2,no,no,
7,Question_5.1_3,no,no,
7,Question_5.1_4,no,no,
7,Question_7,no,no,
7,Question_7.1,no,no,
7,Question_7_2,no,no,
7,Question_8,yes,yes,
7,Question_8_2,no,no,
7,Question_9.1,no,no,
8,Question_1,yes,yes,
8,Question_1.1,yes,yes,
8,Question_1.1_2,no,no,
8,Question_1.1_3,no,no,
8,Question_1.1_4,no,no,
8,Question_1.1_5,no,no,
8,Question_10,yes,yes,
8,Question_2,yes,yes,
8,Question_2.1,no,no,
8,Question_2.1_2,no,no,
8,Question_2.1_3,no,no,
8,Question_2.2,yes,yes,
8,Question_2.2_2,no,no,
8,Question_2_2,no,no,
8,Question_3.1,no,no,
8,Question_3.1_2,no,no,
8,Question_4,yes,yes,
8,Question_4.1,yes,yes,
8,Question_4_2,no,no,
8,Question_5,yes,yes,
8,Question_5.1,yes,yes,
8,Question_5.1_2,no,no,
8,Question_5.1_3,no,no,
8,Question_5.1_4,no,no,
8,Question_7,yes,yes,
8,Question_7.1,yes,yes,
8,Question_7_2,no,no,
8,Question_8,yes,yes,
8,Question_8_2,no,no,
8,Question_9.1,yes,yes,
9,Question_1,no,no,
9,Question_1.1,no,no,
9,Question_1.1_2,no,no,
9,Question_1.1_3,no,no,
9,Question_1.1_4,no,no,
9,Question_1.1_5,no,no,
9,Question_10,no,no,
9,Question_2,no,no,
9,Question_2.1,no,no,
9,Question_2.1_2,no,no,
9,Question_2.1_3,no,no,
9,Question_2.2,no,no,
9,Question_2.2_2,no,no,
9,Question_2_2,no,no,
9,Question_3.1,no,no,
9,Question_3.1_2,no,no,
9,Question_4,no,no,
9,Question_4.1,no,no,
9,Question_4_2,no,no,
9,Question_5,no,no,
9,Question_5.1,no,no,
9,Question_5.1_2,no,no,
9,Question_5.1_3,no,no,
9,Question_5.1_4,no,no,
9,Question_7,no,no,
9,Question_7.1,no,no,
9,Question_7_2,no,no,
9,Question_8,no,no,
9,Question_8_2,no,no,
9,Question_9.1,no,no,
10,Question_1,no,no,
10,Question_1.1,no,no,
10,Question_1.1_2,no,no,
10,Question_1.1_3,no,no,
10,Question_1.1_4,no,no,
10,Question_1.1_5,no,no,
10,Question_10,no,no,
10,Question_2,no,no,
10,Question_2.1,no,no,
10,Question_2.1_2,no,no,
10,Question_2.1_3,no,no,
10,Question_2.2,no,no,
10,Question_2.2_2,no,no,
10,Question_2_2,no,no,
10,Question_3.1,no,no,
10,Question_3.1_2,no,no,
10,Question_4,no,no,
10,Question_4.1,no,no,
10,Question_4_2,no,no,
10,Question_5,no,no,
10,Question_5.1,no,no,
10,Question_5.1_2,no,no,
10,Question_5.1_3,no,no,
10,Question_5.1_4,no,no,
10,Question_7,no,no,
10,Question_7.1,no,no,
10,Question_7_2,no,no,
10,Question_8,no,no,
10,Question_8_2,no,no,
10,Question_9.1,no,no,
11,Question_1,yes,yes,
11,Question_1.1,yes,yes,
11,Question_1.1_2,no,no,
11,Question_1.1_3,no,no,
11,Question_1.1_4,no,no,
11,Question_1.1_5,no,no,
11,Question_10,yes,yes,
11,Question_2,yes,yes,
11,Question_2.1,no,no,
11,Question_2.1_2,no,no,
11,Question_2.1_3,no,no,
11,Question_2.2,yes,yes,
11,Question_2.2_2,no,no,
11,Question_2_2,no,no,
11,Question_3.1,no,no,
11,Question_3.1_2,no,no,
11,Question_4,yes,yes,
11,Question_4.1,yes,yes,
11,Question_4_2,no,no,
11,Question_5,yes,yes,
11,Question_5.1,no,no,
11,Question_5.1_2,no,no,
11,Question_5.1_3,no,no,
11,Question_5.1_4,no,no,
11,Question_7,yes,yes,
11,Question_7.1,yes,yes,
11,Question_7_2,no,no,
11,Question_8,yes,yes,
11,Question_8_2,no,no,
11,Question_9.1,yes,yes,
12,Question_1,yes,yes,
12,Question_1.1,yes,yes,
12,Question_1.1_2,no,no,
12,Question_1.1_3,no,no,
12,Question_1.1_4,no,no,
12,Question_1.1_5,no,no,
12,Question_10,yes,yes,
12,Question_2,yes,yes,
12,Question_2.1,no,no,
12,Question_2.1_2,no,no,
12,Question_2.1_3,no,no,
12,Question_2.2,yes,yes,
12,Question_2.2_2,no,no,
12,Question_2_2,no,no,
12,Question_3.1,no,no,
12,Question_3.1_2,no,no,
12,Question_4,yes,yes,
12,Question_4.1,yes,yes,
12,Question_4_2,no,no,
12,Question_5,yes,yes,
12,Question_5.1,no,no,
12,Question_5.1_2,no,no,
12,Question_5.1_3,no,no,
12,Question_5.1_4,no,no,
12,Question_7,yes,yes,
12,Question_7.1,yes,yes,
12,Question_7_2,no,no,
12,Question_8,yes,yes,
12,Question_8_2,no,no,
12,Question_9.1,yes,yes,
13,Question_1,yes,yes,
13,Question_1.1,no,no,
13,Question_1.1_2,no,no,
13,Question_1.1_3,no,no,
13,Question_1.1_4,no,no,
13,Question_1.1_5,no,no,
13,Question_10,no,no,
13,Question_2,yes,yes,
13,Question_2.1,no,no,
13,Question_2.1_2,no,no,
13,Question_2.1_3,no,no,
13,Question_2.2,yes,yes,
13,Question_2.2_2,no,no,
13,Question_2_2,no,no,
13,Question_3.1,no,no,
13,Question_3.1_2,no,no,
13,Question_4,no,no,
13,Question_4.1,no,no,
13,Question_4_2,no,no,
13,Question_5,yes,yes,
13,Question_5.1,no,no,
13,Question_5.1_2,no,no,
13,Question_5.1_3,no,no,
13,Question_5.1_4,no,no,
13,Question_7,no,no,
13,Question_7.1,no,no,
13,Question_7_2,no,no,
13,Question_8,yes,yes,
13,Question_8_2,no,no,
13,Question_9.1,yes,yes,
14,Question_1,no,no,
14,Question_1.1,no,no,
14,Question_1.1_2,no,no,
14,Question_1.1_3,no,no,
14,Question_1.1_4,no,no,
14,Question_1.1_5,no,no,
14,Question_10,no,no,
14,Question_2,no,no,
14,Question_2.1,no,no,
14,Question_2.1_2,no,no,
14,Question_2.1_3,no,no,
14,Question_2.2,no,no,
14,Question_2.2_2,no,no,
14,Question_2_2,no,no,
14,Question_3.1,no,no,
14,Question_3.1_2,no,no,
14,Question_4,no,no,
14,Question_4.1,no,no,
14,Question_4_2,no,no,
14,Question_5,no,no,
14,Question_5.1,no,no,
14,Question_5.1_2,no,no,
14,Question_5.1_3,no,no,
14,Question_5.1_4,no,no,
14,Question_7,no,no,
14,Question_7.1,no,no,
14,Question_7_2,no,no,
14,Question_8,no,no,
14,Question_8_2,no,no,
14,Question_9.1,no,no,
15,Question_1,no,no,
15,Question_1.1,no,no,
15,Question_1.1_2,no,no,
15,Question_1.1_3,no,no,
15,Question_1.1_4,no,no,
15,Question_1.1_5,no,no,
15,Question_10,no,no,
15,Question_2,no,no,
15,Question_2.1,no,no,
15,Question_2.1_2,no,no,
15,Question_2.1_3,no,no,
15,Question_2.2,no,no,
15,Question_2.2_2,no,no,
15,Question_2_2,no,no,
15,Question_3.1,no,no,
15,Question_3.1_2,no,no,
15,Question_4,no,no,
15,Question_4.1,no,no,
15,Question_4_2,no,no,
15,Question_5,no,no,
15,Question_5.1,no,no,
15,Question_5.1_2,no,no,
15,Question_5.1_3,no,no,
15,Question_5.1_4,no,no,
15,Question_7,no,no,
15,Question_7.1,no,no,
15,Question_7_2,no,no,
15,Question_8,no,no,
15,Question_8_2,no,no,
15,Question_9.1,no,no,
16,Question_1,yes,yes,
16,Question_1.1,yes,yes,
16,Question_1.1_2,no,no,
16,Question_1.1_3,no,no,
16,Question_1.1_4,no,no,
16,Question_1.1_5,no,no,
16,Question_10,yes,yes,
16,Question_2,yes,yes,
16,Question_2.1,no,no,
16,Question_2.1_2,no,no,
16,Question_2.1_3,no,no,
16,Question_2.2,yes,yes,
16,Question_2.2_2,no,no,
16,Question_2_2,no,no,
16,Question_3.1,no,no,
16,Question_3.1_2,no,no,
16,Question_4,no,no,
16,Question_4.1,no,no,
16,Question_4_2,no,no,
16,Question_5,yes,yes,
16,Question_5.1,no,no,
16,Question_5.1_2,no,no,
16,Question_5.1_3,no,no,
16,Question_5.1_4,no,no,
16,Question_7,yes,yes,
16,Question_7.1,no,no,
16,Question_7_2,no,no,
16,Question_8,yes,yes,
16,Question_8_2,no,no,
16,Question_9.1,no,no,
17,Question_1,no,no,
17,Question_1.1,no,no,
17,Question_1.1_2,no,no,
17,Question_1.1_3,no,no,
17,Question_1.1_4,no,no,
17,Question_1.1_5,no,no,
17,Question_10,no,no,
17,Question_2,no,no,
17,Question_2.1,no,no,
17,Question_2.1_2,no,no,
17,Question_2.1_3,no,no,
17,Question_2.2,no,no,
17,Question_2.2_2,no,no,
17,Question_2_2,no,no,
17,Question_3.1,no,no,
17,Question_3.1_2,no,no,
17,Question_4,no,no,
17,Question_4.1,no,no,
17,Question_4_2,no,no,
17,Question_5,no,no,
17,Question_5.1,no,no,
17,Question_5.1_2,no,no,
17,Question_5.1_3,no,no,
17,Question_5.1_4,no,no,
17,Question_7,no,no,
17,Question_7.1,no,no,
17,Question_7_2,no,no,
17,Question_8,no,no,
17,Question_8_2,no,no,
17,Question_9.1,no,no,
18,Question_1,no,no,
18,Question_1.1,no,no,
18,Question_1.1_2,no,no,
18,Question_1.1_3,no,no,
18,Question_1.1_4,no,no,
18,Question_1.1_5,no,no,
18,Question_10,no,no,
18,Question_2,no,no,
18,Question_2.1,no,no,
18,Question_2.1_2,no,no,
18,Question_2.1_3,no,no,
18,Question_2.2,no,no,
18,Question_2.2_2,no,no,
18,Question_2_2,no,no,
18,Question_3.1,no,no,
18,Question_3.1_2,no,no,
18,Question_4,no,no,
18,Question_4.1,no,no,
18,Question_4_2,no,no,
18,Question_5,no,no,
18,Question_5.1,no,no,
18,Question_5.1_2,no,no,
18,Question_5.1_3,no,no,
18,Question_5.1_4,no,no,
18,Question_7,no,no,
18,Question_7.1,no,no,
18,Question_7_2,no,no,
18,Question_8,no,no,
18,Question_8_2,no,no,
18,Question_9.1,no,no,
19,Question_1,no,no,
19,Question_1.1,no,no,
19,Question_1.1_2,no,no,
19,Question_1.1_3,no,no,
19,Question_1.1_4,no,no,
19,Question_1.1_5,no,no,
19,Question_10,no,no,
19,Question_2,no,no,
19,Question_2.1,no,no,
19,Question_2.1_2,no,no,
19,Question_2.1_3,no,no,
19,Question_2.2,no,no,
19,Question_2.2_2,no,no,
19,Question_2_2,no,no,
19,Question_3.1,no,no,
19,Question_3.1_2,no,no,
19,Question_4,no,no,
19,Question_4.1,no,no,
19,Question_4_2,no,no,
19,Question_5,no,no,
19,Question_5.1,no,no,
19,Question_5.1_2,no,no,
19,Question_5.1_3,no,no,
19,Question_5.1_4,no,no,
19,Question_7,no,no,
19,Question_7.1,no,no,
19,Question_7_2,no,no,
19,Question_8,no,no,
19,Question_8_2,no,no,
19,Question_9.1,no,no,
20,Question_1,yes,yes,
20,Question_1.1,yes,yes,
20,Question_1.1_2,no,no,
20,Question_1.1_3,no,no,
20,Question_1.1_4,no,no,
20,Question_1.1_5,no,no,
20,Question_10,yes,yes,
20,Question_2,yes,yes,
20,Question_2.1,no,no,
20,Question_2.1_2,no,no,
20,Question_2.1_3,no,no,
20,Question_2.2,yes,yes,
20,Question_2.2_2,no,no,
20,Question_2_2,no,no,
20,Question_3.1,no,no,
20,Question_3.1_2,no,no,
20,Question_4,yes,yes,
20,Question_4.1,yes,yes,
20,Question_4_2,no,no,
20,Question_5,yes,yes,
20,Question_5.1,yes,yes,
20,Question_5.1_2,no,no,
20,Question_5.1_3,no,no,
20,Question_5.1_4,no,no,
20,Question_7,yes,yes,
20,Question_7.1,yes,yes,
20,Question_7_2,no,no,
20,Question_8,yes,yes,
20,Question_8_2,no,no,
20,Question_9.1,yes,yes,
21,Question_1,yes,yes,
21,Question_1.1,yes,yes,
21,Question_1.1_2,no,no,
21,Question_1.1_3,no,no,
21,Question_1.1_4,no,no,
21,Question_1.1_5,no,no,
21,Question_10,yes,yes,
21,Question_2,yes,yes,
21,Question_2.1,no,no,
21,Question_2.1_2,no,no,
21,Question_2.1_3,no,no,
21,Question_2.2,yes,yes,
21,Question_2.2_2,no,no,
21,Question_2_2,no,no,
21,Question_3.1,yes,yes,
21,Question_3.1_2,no,no,
21,Question_4,yes,yes,
21,Question_4.1,yes,yes,
21,Question_4_2,no,no,
21,Question_5,yes,yes,
21,Question_5.1,yes,yes,
21,Question_5.1_2,no,no,
21,Question_5.1_3,no,no,
21,Question_5.1_4,no,no,
21,Question_7,yes,yes,
21,Question_7.1,yes,yes,
21,Question_7_2,no,no,
21,Question_8,yes,yes,
21,Question_8_2,no,no,
21,Question_9.1,yes,yes,
22,Question_1,no,no,
22,Question_1.1,no,no,
22,Question_1.1_2,no,no,
22,Question_1.1_3,no,no,
22,Question_1.1_4,no,no,
22,Question_1.1_5,no,no,
22,Question_10,no,no,
22,Question_2,no,no,
22,Question_2.1,no,no,
22,Question_2.1_2,no,no,
22,Question_2.1_3,no,no,
22,Question_2.2,no,no,
22,Question_2.2_2,no,no,
22,Question_2_2,no,no,
22,Question_3.1,no,no,
22,Question_3.1_2,no,no,
22,Question_4,no,no,
22,Question_4.1,no,no,
22,Question_4_2,no,no,
22,Question_5,no,no,
22,Question_5.1,no,no,
22,Question_5.1_2,no,no,
22,Question_5.1_3,no,no,
22,Question_5.1_4,no,no,
22,Question_7,no,no,
22,Question_7.1,no,no,
22,Question_7_2,no,no,
22,Question_8,no,no,
22,Question_8_2,no,no,
22,Question_9.1,no,no,
23,Question_1,no,no,
23,Question_1.1,no,no,
23,Question_1.1_2,no,no,
23,Question_1.1_3,no,no,
23,Question_1.1_4,no,no,
23,Question_1.1_5,no,no,
23,Question_10,no,no,
23,Question_2,no,no,
23,Question_2.1,no,no,
23,Question_2.1_2,no,no,
23,Question_2.1_3,no,no,
23,Question_2.2,no,no,
23,Question_2.2_2,no,no,
23,Question_2_2,no,no,
23,Question_3.1,no,no,
23,Question_3.1_2,no,no,
23,Question_4,no,no,
23,Question_4.1,no,no,
23,Question_4_2,no,no,
23,Question_5,no,no,
23,Question_5.1,no,no,
23,Question_5.1_2,no,no,
23,Question_5.1_3,no,no,
23,Question_5.1_4,no,no,
23,Question_7,no,no,
23,Question_7.1,no,no,
23,Question_7_2,no,no,
23,Question_8,no,no,
23,Question_8_2,no,no,
23,Question_9.1,no,no,
24,Question_1,yes,yes,
24,Question_1.1,no,no,
24,Question_1.1_2,no,no,
24,Question_1.1_3,no,no,
24,Question_1.1_4,no,no,
24,Question_1.1_5,no,no,
24,Question_10,yes,yes,
24,Question_2,yes,yes,
24,Question_2.1,no,no,
24,Question_2.1_2,no,no,
24,Question_2.1_3,no,no,
24,Question_2.2,no,no,
24,Question_2.2_2,no,no,
24,Question_2_2,no,no,
24,Question_3.1,no,no,
24,Question_3.1_2,no,no,
24,Question_4,yes,yes,
24,Question_4.1,no,no,
24,Question_4_2,no,no,
24,Question_5,yes,yes,
24,Question_5.1,no,no,
24,Question_5.1_2,no,no,
24,Question_5.1_3,no,no,
24,Question_5.1_4,no,no,
24,Question_7,yes,yes,
24,Question_7.1,yes,yes,
24,Question_7_2,no,no,
24,Question_8,yes,yes,
24,Question_8_2,no,no,
24,Question_9.1,yes,yes,
25,Question_1,no,no,
25,Question_1.1,no,no,
25,Question_1.1_2,no,no,
25,Question_1.1_3,no,no,
25,Question_1.1_4,no,no,
25,Question_1.1_5,no,no,
25,Question_10,no,no,
25,Question_2,no,no,
25,Question_2.1,no,no,
25,Question_2.1_2,no,no,
25,Question_2.1_3,no,no,
25,Question_2.2,no,no,
25,Question_2.2_2,no,no,
25,Question_2_2,no,no,
25,Question_3.1,no,no,
25,Question_3.1_2,no,no,
25,Question_4,no,no,
25,Question_4.1,no,no,
25,Question_4_2,no,no,
25,Question_5,no,no,
25,Question_5.1,no,no,
25,Question_5.1_2,no,no,
25,Question_5.1_3,no,no,
25,Question_5.1_4,no,no,
25,Question_7,no,no,
25,Question_7.1,no,no,
25,Question_7_2,no,no,
25,Question_8,no,no,
25,Question_8_2,no,no,
25,Question_9.1,no,no,
26,Question_1,yes,yes,
26,Question_1.1,no,no,
26,Question_1.1_2,no,no,
26,Question_1.1_3,no,no,
26,Question_1.1_4,no,no,
26,Question_1.1_5,no,no,
